egoid,hs_1,hssex_1,hsgrade_1,apexams_1,degreeintent_1,hrswork_1,ndfirst_1,majorevent_1,hsclubrc_1
42231,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
44639,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,Yes,no,1
64072,Public school,A mixture of boys and girls,A-,5 or more,J.D. (Law),16-20,Yes,yes,1
84960,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,Yes,yes,1
43809,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
27941,Private religious/parochial school,Same sex- male,A or A+,3-4,Ph.D or Ed.D.,None,Yes,no,1
31033,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,16-20,No,no,1
39301,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
10469,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
77789,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Bachelor's degree (B.A., B.S., etc.)",5-10,No,no,1
47024,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,No,no,1
88582,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",5-10,Yes,no,1
73897,Private independent college-prep school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
83470,Private religious/parochial school,Same sex- female,A-,5 or more,J.D. (Law),0-4,Yes,yes,1
67015,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
26272,Public school,A mixture of boys and girls,A or A+,5 or more,"M.D., D.O., D.D.S., or D.V.M.",0-4,No,no,1
21909,Public school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",11-15,Yes,no,1
88882,Private religious/parochial school,A mixture of boys and girls,A or A+,3-4,"Bachelor's degree (B.A., B.S., etc.)",11-15,Yes,yes,1
96828,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
64406,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,"Bachelor's degree (B.A., B.S., etc.)",0-4,Yes,no,1
31985,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,None,Yes,yes,1
91337,Public school,A mixture of boys and girls,A-,1-2,J.D. (Law),5-10,Yes,no,1
87664,Private religious/parochial school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
19245,Private independent college-prep school,A mixture of boys and girls,A or A+,5 or more,J.D. (Law),None,No,no,1
83748,Private independent college-prep school,A mixture of boys and girls,A or A+,Not offered at my high school,Ph.D or Ed.D.,None,No,no,1
49915,Private religious/parochial school,Same sex- male,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
51865,Public school,A mixture of boys and girls,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,0
78407,Private religious/parochial school,Same sex- female,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
93787,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
52621,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
38914,Private independent college-prep school,A mixture of boys and girls,A or A+,0,J.D. (Law),None,No,no,0
37594,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
19833,Public school,A mixture of boys and girls,A or A+,1-2,Ph.D or Ed.D.,None,Yes,no,1
17270,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
40864,Public school,A mixture of boys and girls,A-,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,0
38313,Public charter school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,yes,1
55340,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,"Master's Degree (M.A., M.S., MBA, etc.)",5-10,No,no,1
18707,Public school,A mixture of boys and girls,A or A+,5 or more,Ph.D or Ed.D.,11-15,Yes,no,1
26718,Public school,A mixture of boys and girls,A or A+,1-2,"Master's Degree (M.A., M.S., MBA, etc.)",16-20,No,no,1
63347,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35824,Public school,A mixture of boys and girls,A or A+,Not offered at my high school,J.D. (Law),None,Yes,no,1
48826,Public school,A mixture of boys and girls,A or A+,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
11454,Public school,A mixture of boys and girls,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,1
93246,Private religious/parochial school,Same sex- male,A-,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
75341,Private religious/parochial school,Same sex- female,A or A+,3-4,"Master's Degree (M.A., M.S., MBA, etc.)",None,Yes,no,1
35925,Public school,A mixture of boys and girls,A-,5 or more,"Master's Degree (M.A., M.S., MBA, etc.)",None,No,no,0
